"filename", "language", "Python", "Batch", "pip requirements", "Shell Script", "Docker", "Markdown", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\course_folder\course_templates.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 62
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\course_folder\enrollments.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 0, 29, 36, 170
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\course_folder\payable_templates.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 43
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\doorman.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 17, 24, 102
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\main.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 65
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\stripe\overview.md", "Markdown", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 19, 101
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\stripe\payment_line_items.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 98
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\stripe\payments.py", "Python", 66, 0, 0, 0, 0, 0, 0, 0, 0, 20, 25, 111
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\stripe\stripe_webhook_events.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 19, 23, 98
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\user_folder\admins.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 47
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\user_folder\instructors.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 47
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\user_folder\students.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 15, 17, 79
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\user_folder\superusers.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 47
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\user_folder\users.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 128
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\calendar.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 54
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\calendar\calendar-events.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 91, 1, 15, 107
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\calendar\calendar-wizard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 59, 1, 11, 71
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\calendar\calendar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 52, 1, 10, 63
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\info_box.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\tabs.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 37, 2, 6, 45
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 26, 3, 7, 36
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\modal.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 128, 7, 23, 158
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\js\components\calendar\calendar-admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 324, 0, 0, 17, 23, 364
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\js\components\calendar\calendar-core.js", "JavaScript", 0, 0, 0, 0, 0, 0, 129, 0, 0, 29, 21, 179
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\js\components\calendar\calendar-events.js", "JavaScript", 0, 0, 0, 0, 0, 0, 203, 0, 0, 38, 35, 276
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\js\components\calendar\calendar-instructor.js", "JavaScript", 0, 0, 0, 0, 0, 0, 208, 0, 0, 28, 31, 267
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\js\components\calendar\calendar-student.js", "JavaScript", 0, 0, 0, 0, 0, 0, 247, 0, 0, 27, 26, 300
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\js\modal.js", "JavaScript", 0, 0, 0, 0, 0, 0, 220, 0, 0, 28, 47, 295
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\bases\nonstudents.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 10, 66
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\bases\private.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\bases\public.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 9, 35
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\components\flash_messages.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 23
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\components\testing\roles.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 1, 0, 40
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\errors\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\errors\500.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\components\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 0, 14
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\courses\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\courses\view_instance.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 442, 0, 6, 52, 500
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\dashboard\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\payments\details.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 361, 0, 8, 39, 408
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\students\details.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 324, 0, 5, 9, 338
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\students\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 185, 0, 3, 10, 198
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\components\calendar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 81, 0, 2, 12, 95
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\components\calendar_editable.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 727, 0, 3, 116, 846
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\components\nav\default.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\instructors\components\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 0, 14
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\instructors\courses\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\instructors\dashboard\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\checkout\failed.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 65, 0, 7, 10, 82
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\checkout\index copy.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 156, 0, 2, 26, 184
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\checkout\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 303, 0, 6, 42, 351
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\checkout\success.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 123, 0, 8, 11, 142
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\components\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 39
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\dashboard\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 259, 0, 3, 25, 287
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\enrollments\details.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 246, 0, 13, 29, 288
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\enrollments\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 119, 0, 6, 11, 136
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\components\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 2, 0, 16
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\course_templates\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 290, 0, 4, 42, 336
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\dashboard\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\payables\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 212, 0, 4, 32, 248
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\users\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 1, 6, 53
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\auth\loginReg.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 102, 0, 2, 3, 107
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\auth\signup.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 103, 0, 2, 15, 120
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\components\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 21
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\courses\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 161, 0, 4, 21, 186
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\landing\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\utils\custom_decorators.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 0, 33, 28, 130
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\utils\password_management.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 29, 11, 70
"Total", "-", 2711, 19, 29, 16, 17, 477, 1331, 4654, 406, 900, 1771, 12331
